"benchmarkKey","commit","label","round","caseName","success","error","httpStatus","evalTokensPerSecond","evalTokens","evalMs","draftAcceptance","draftAccepted","draftGenerated","promptTokensPerSecond","promptTokens","promptMs","ttftMs","totalMs","outputCharacters"
"a49f80b7cea2","6ee0f65793da4bca2301826f70383aef2da60345","mtp-vision-baseline+6ee0f657+scan-0",1,"text",true,,200,86.75,256,2951.08,0.61842,141,228,1617.46,27644,17090.99,17140.350124999997,20092.028959000003,1105
"a49f80b7cea2","6ee0f65793da4bca2301826f70383aef2da60345","mtp-vision-baseline+6ee0f657+scan-0",1,"vision",true,,200,100.2,256,2554.85,0.77889,155,199,1404.18,30861,21977.97,22057.286625,24612.760958,879
"a49f80b7cea2","6ee0f65793da4bca2301826f70383aef2da60345","mtp-vision-baseline+6ee0f657+scan-0",1,"post-vision",true,,200,89.58,256,2857.92,0.68372,147,215,1305.94,30901,23661.81,23786.493708,26645.089207999998,1086
"a49f80b7cea2","e9fb3b3fc0300501179b0ce61e907be767e8c859","community-fastest+e9fb3b3f",1,"text",true,,200,90,256,2844.39,0.61842,141,228,1716.44,27644,16105.39,16149.655625,18994.68729100001,1105
"a49f80b7cea2","e9fb3b3fc0300501179b0ce61e907be767e8c859","community-fastest+e9fb3b3f",1,"vision",true,,200,100.23,256,2554.19,0.77889,155,199,1355.83,30861,22761.75,22842.35437500001,25397.151624999984,879
"a49f80b7cea2","e9fb3b3fc0300501179b0ce61e907be767e8c859","community-fastest+e9fb3b3f",1,"post-vision",true,,200,96.01,256,2666.38,0.73301,151,206,1331.99,30901,23199.12,23284.123666999978,25952.740791999997,1110
"a49f80b7cea2","9a532ae4bab1b164052ce60a738f78538b421c66","pre-regression+b9222",1,"text",true,,200,72.18,256,3546.87,,,,1550.21,27644,17832.37,17877.284625,21424.645874999987,1077
"a49f80b7cea2","9a532ae4bab1b164052ce60a738f78538b421c66","pre-regression+b9222",1,"vision",true,,200,77.87,256,3287.53,,,,1134.02,30861,27213.91,27312.70975000004,30600.779917000036,879
"a49f80b7cea2","9a532ae4bab1b164052ce60a738f78538b421c66","pre-regression+b9222",1,"post-vision",true,,200,72.43,256,3534.3,,,,1133.63,30901,27258.5,27352.097167,30886.910458999977,1194
"a49f80b7cea2","d14ce3dab4de197adec5166faa54ac5db8262f26","reported-regression+b9235",1,"text",true,,200,72.58,256,3527.21,0.60173,139,231,1542.56,27644,17920.9,17964.246665999992,21491.964041,1077
"a49f80b7cea2","d14ce3dab4de197adec5166faa54ac5db8262f26","reported-regression+b9235",1,"vision",true,,200,78.54,256,3259.38,0.7177,150,209,1133.81,30861,27218.79,27315.37729199999,30575.251042000018,879
"a49f80b7cea2","d14ce3dab4de197adec5166faa54ac5db8262f26","reported-regression+b9235",1,"post-vision",true,,200,72.97,256,3508.49,0.62832,142,226,1128.42,30901,27384.28,27478.81837500003,30987.84158300003,1194
"a49f80b7cea2","57fe1f07c3b6a1de3f4fff19098e2056a85275b7","co-de-tested+b9620",1,"text",true,,200,89.82,256,2850.2,0.61842,141,228,1626.27,27644,16998.44,17066.09404200001,19914.337459000002,1105
"a49f80b7cea2","57fe1f07c3b6a1de3f4fff19098e2056a85275b7","co-de-tested+b9620",1,"vision",true,,200,99.71,256,2567.39,0.78283,155,198,1332.97,30861,23152.12,23247.450584000035,25815.31170900003,878
"a49f80b7cea2","57fe1f07c3b6a1de3f4fff19098e2056a85275b7","co-de-tested+b9620",1,"post-vision",true,,200,99.32,256,2577.57,0.775,155,200,1328.93,30901,23252.51,23371.407000000007,25949.697083999985,1109
"a49f80b7cea2","f2d1c2f3984cb0934b575069489a052654b4037b","issue-25489-head+b9935+scan-4",1,"text",true,,200,89.95,256,2845.95,0.61842,141,228,1669.27,27644,16560.53,16606.363333999994,19452.869958999916,1105
"a49f80b7cea2","f2d1c2f3984cb0934b575069489a052654b4037b","issue-25489-head+b9935+scan-4",1,"vision",true,,200,100.24,256,2553.78,0.77889,155,199,1361.96,30861,22659.33,22738.906167000066,25293.283958000015,879
"a49f80b7cea2","f2d1c2f3984cb0934b575069489a052654b4037b","issue-25489-head+b9935+scan-4",1,"post-vision",true,,200,96.72,256,2646.81,0.73301,151,206,1341.57,30901,23033.44,23110.678375000018,25757.938458000077,1110
"a49f80b7cea2","2f18fe13c5dd61e7f069e0c817086cbbce2134dc","scan-1",1,"text",true,,200,89.99,256,2844.65,0.61842,141,228,1687.29,27644,16383.72,16426.586916,19271.862041000044,1105
"a49f80b7cea2","2f18fe13c5dd61e7f069e0c817086cbbce2134dc","scan-1",1,"vision",true,,200,100.36,256,2550.92,0.77889,155,199,1359.94,30861,22692.97,22774.27016700001,25325.757291999995,879
"a49f80b7cea2","2f18fe13c5dd61e7f069e0c817086cbbce2134dc","scan-1",1,"post-vision",true,,200,96.79,256,2644.99,0.73301,151,206,1342.19,30901,23022.81,23099.704625000013,25745.150125000044,1110
"a49f80b7cea2","fdb1db877c526ec90f668eca1b858da5dba85560","scan-2",1,"text",true,,200,90,256,2844.49,0.61842,141,228,1713.36,27644,16134.4,16179.1040830001,19024.148042000015,1105
"a49f80b7cea2","fdb1db877c526ec90f668eca1b858da5dba85560","scan-2",1,"vision",true,,200,100.23,256,2554.25,0.77889,155,199,1366.2,30861,22588.98,22669.54541599995,25224.416374999913,879
"a49f80b7cea2","fdb1db877c526ec90f668eca1b858da5dba85560","scan-2",1,"post-vision",true,,200,96.66,256,2648.41,0.73301,151,206,1341.9,30901,23027.79,23104.75800000003,25753.62725000002,1110
"a49f80b7cea2","f5525f7e7a7e7cbecd386144299493ea40499bd3","scan-3",1,"text",true,,200,89.94,256,2846.26,0.61842,141,228,1718.87,27644,16082.65,16113.92962499999,18960.855624999967,1105
"a49f80b7cea2","f5525f7e7a7e7cbecd386144299493ea40499bd3","scan-3",1,"vision",true,,200,100.29,256,2552.63,0.77889,155,199,1365.61,30861,22598.65,22681.509542000014,25234.736749999924,879
"a49f80b7cea2","f5525f7e7a7e7cbecd386144299493ea40499bd3","scan-3",1,"post-vision",true,,200,96.73,256,2646.65,0.73301,151,206,1341,30901,23043.32,23121.652499999967,25768.758499999996,1110
"a49f80b7cea2","e9fb3b3fc0300501179b0ce61e907be767e8c859","community-fastest+e9fb3b3f",2,"text",true,,200,94.55,256,2707.56,0.67593,146,216,1709.66,27644,16169.27,16215.903792000026,18924.069750000024,1114
"a49f80b7cea2","e9fb3b3fc0300501179b0ce61e907be767e8c859","community-fastest+e9fb3b3f",2,"vision",true,,200,101.47,256,2522.8,0.79592,156,196,1355.06,30861,22774.58,22855.02412499988,25378.24904200004,876
"a49f80b7cea2","e9fb3b3fc0300501179b0ce61e907be767e8c859","community-fastest+e9fb3b3f",2,"post-vision",true,,200,96.32,256,2657.68,0.72596,151,208,1337.06,30901,23111.1,23188.70775000006,25846.99958299985,1171
"a49f80b7cea2","9a532ae4bab1b164052ce60a738f78538b421c66","pre-regression+b9222",2,"text",true,,200,93.23,256,2745.76,,,,1556.06,27644,17765.4,17813.5560000001,20559.82670799992,988
"a49f80b7cea2","9a532ae4bab1b164052ce60a738f78538b421c66","pre-regression+b9222",2,"vision",true,,200,78.97,256,3241.59,,,,1139.29,30861,27087.89,27179.48308299994,30421.42174999998,879
"a49f80b7cea2","9a532ae4bab1b164052ce60a738f78538b421c66","pre-regression+b9222",2,"post-vision",true,,200,77.52,256,3302.28,,,,1137.31,30901,27170.22,27258.594625000143,30561.219875000184,1150
"a49f80b7cea2","d14ce3dab4de197adec5166faa54ac5db8262f26","reported-regression+b9235",2,"text",true,,200,93.77,256,2729.99,0.92697,165,178,1540.64,27644,17943.23,17989.30454199994,20720.213332999963,988
"a49f80b7cea2","d14ce3dab4de197adec5166faa54ac5db8262f26","reported-regression+b9235",2,"vision",true,,200,79.32,256,3227.57,0.73301,151,206,1123.08,30861,27478.89,27558.550540999975,30786.44929099991,879
"a49f80b7cea2","d14ce3dab4de197adec5166faa54ac5db8262f26","reported-regression+b9235",2,"post-vision",true,,200,77.88,256,3287.06,0.70952,149,210,1129.2,30901,27365.46,27462.84183300007,30750.198083000025,1150
"a49f80b7cea2","57fe1f07c3b6a1de3f4fff19098e2056a85275b7","co-de-tested+b9620",2,"text",true,,200,94.38,256,2712.36,0.67593,146,216,1640.35,27644,16852.51,16914.154374999925,19627.351749999914,1114
"a49f80b7cea2","57fe1f07c3b6a1de3f4fff19098e2056a85275b7","co-de-tested+b9620",2,"vision",true,,200,98.79,256,2591.36,0.77,154,200,1345.56,30861,22935.44,23031.440667000134,25623.261582999956,876
"a49f80b7cea2","57fe1f07c3b6a1de3f4fff19098e2056a85275b7","co-de-tested+b9620",2,"post-vision",true,,200,94.62,256,2705.59,0.71429,150,210,1334.75,30901,23151.2,23272.977500000037,25979.273625000147,1150
"a49f80b7cea2","f2d1c2f3984cb0934b575069489a052654b4037b","issue-25489-head+b9935+scan-4",2,"text",true,,200,94.48,256,2709.6,0.67593,146,216,1643.15,27644,16823.78,16869.900540999835,19580.093083000043,1114
"a49f80b7cea2","f2d1c2f3984cb0934b575069489a052654b4037b","issue-25489-head+b9935+scan-4",2,"vision",true,,200,101.5,256,2522.26,0.79592,156,196,1357.51,30861,22733.53,22815.408041000133,25338.158875000197,876
"a49f80b7cea2","f2d1c2f3984cb0934b575069489a052654b4037b","issue-25489-head+b9935+scan-4",2,"post-vision",true,,200,96.28,256,2658.95,0.72596,151,208,1343.15,30901,23006.32,23085.375332999974,25744.919874999905,1171
"a49f80b7cea2","2f18fe13c5dd61e7f069e0c817086cbbce2134dc","scan-1",2,"text",true,,200,94.5,256,2709.07,0.67593,146,216,1646.74,27644,16787.1,16829.810667000012,19539.499916999834,1114
"a49f80b7cea2","2f18fe13c5dd61e7f069e0c817086cbbce2134dc","scan-1",2,"vision",true,,200,101.65,256,2518.55,0.79592,156,196,1356.51,30861,22750.26,22832.373124999925,25351.387374999933,876
"a49f80b7cea2","2f18fe13c5dd61e7f069e0c817086cbbce2134dc","scan-1",2,"post-vision",true,,200,96.31,256,2657.95,0.72596,151,208,1343.91,30901,22993.3,23071.0140829999,25729.55095799989,1171
"a49f80b7cea2","fdb1db877c526ec90f668eca1b858da5dba85560","scan-2",2,"text",true,,200,94.47,256,2709.84,0.67593,146,216,1649.4,27644,16760.01,16807.99974999996,19518.612875000108,1114
"a49f80b7cea2","fdb1db877c526ec90f668eca1b858da5dba85560","scan-2",2,"vision",true,,200,101.64,256,2518.61,0.79592,156,196,1354.46,30861,22784.77,22866.99383400008,25386.07708399999,876
"a49f80b7cea2","fdb1db877c526ec90f668eca1b858da5dba85560","scan-2",2,"post-vision",true,,200,96.33,256,2657.58,0.72596,151,208,1343.09,30901,23007.42,23087.20858399989,25745.362250000006,1171
"a49f80b7cea2","f5525f7e7a7e7cbecd386144299493ea40499bd3","scan-3",2,"text",true,,200,94.45,256,2710.43,0.67593,146,216,1649.3,27644,16761.02,16808.470416000113,19519.51450000005,1114
"a49f80b7cea2","f5525f7e7a7e7cbecd386144299493ea40499bd3","scan-3",2,"vision",true,,200,101.49,256,2522.32,0.79592,156,196,1357.57,30861,22732.59,22814.79445799999,25337.55725000007,876
"a49f80b7cea2","f5525f7e7a7e7cbecd386144299493ea40499bd3","scan-3",2,"post-vision",true,,200,96.24,256,2659.93,0.72596,151,208,1344.51,30901,22983.02,23061.68558400008,25722.22129200003,1171
"a49f80b7cea2","6ee0f65793da4bca2301826f70383aef2da60345","mtp-vision-baseline+6ee0f657+scan-0",2,"text",true,,200,94.51,256,2708.84,0.67593,146,216,1653.74,27644,16716,16779.212708000094,19488.681166999973,1114
"a49f80b7cea2","6ee0f65793da4bca2301826f70383aef2da60345","mtp-vision-baseline+6ee0f657+scan-0",2,"vision",true,,200,101.69,256,2517.47,0.79592,156,196,1355.37,30861,22769.4,22871.840709000127,25389.75837500021,876
"a49f80b7cea2","6ee0f65793da4bca2301826f70383aef2da60345","mtp-vision-baseline+6ee0f657+scan-0",2,"post-vision",true,,200,94.54,256,2707.74,0.70283,149,212,1347.59,30901,22930.49,23050.311416000128,25758.665000000037,1150
"a49f80b7cea2","9a532ae4bab1b164052ce60a738f78538b421c66","pre-regression+b9222",3,"text",true,,200,74.7,256,3427.24,,,,1577.52,27644,17523.71,17570.850499999942,20998.77958299988,1053
"a49f80b7cea2","9a532ae4bab1b164052ce60a738f78538b421c66","pre-regression+b9222",3,"vision",true,,200,78.2,256,3273.59,,,,1140.77,30861,27052.8,27150.91995799984,30424.83787499997,879
"a49f80b7cea2","9a532ae4bab1b164052ce60a738f78538b421c66","pre-regression+b9222",3,"post-vision",true,,200,77.5,256,3303.05,,,,1135.91,30901,27203.83,27300.53150000004,30603.94658300001,1150
"a49f80b7cea2","d14ce3dab4de197adec5166faa54ac5db8262f26","reported-regression+b9235",3,"text",true,,200,75.11,256,3408.23,0.63839,143,224,1564.72,27644,17667.02,17713.562458000146,21122.486333000008,1053
"a49f80b7cea2","d14ce3dab4de197adec5166faa54ac5db8262f26","reported-regression+b9235",3,"vision",true,,200,78.58,256,3257.95,0.72115,150,208,1133.57,30861,27224.52,27320.85070800013,30579.159250000026,879
"a49f80b7cea2","d14ce3dab4de197adec5166faa54ac5db8262f26","reported-regression+b9235",3,"post-vision",true,,200,77.85,256,3288.53,0.70952,149,210,1130.85,30901,27325.56,27419.643209000118,30708.51741700014,1150
"a49f80b7cea2","57fe1f07c3b6a1de3f4fff19098e2056a85275b7","co-de-tested+b9620",3,"text",true,,200,87.25,256,2934.16,0.58798,137,233,1657.84,27644,16674.75,16737.837374999886,19672.611041999888,1038
"a49f80b7cea2","57fe1f07c3b6a1de3f4fff19098e2056a85275b7","co-de-tested+b9620",3,"vision",true,,200,98.8,256,2591.2,0.77,154,200,1348.1,30861,22892.19,22986.803333000047,25578.448957999935,879
"a49f80b7cea2","57fe1f07c3b6a1de3f4fff19098e2056a85275b7","co-de-tested+b9620",3,"post-vision",true,,200,99.24,256,2579.52,0.775,155,200,1336.33,30901,23123.76,23244.617125000106,25824.804250000045,1109
"a49f80b7cea2","f2d1c2f3984cb0934b575069489a052654b4037b","issue-25489-head+b9935+scan-4",3,"text",true,,200,87.35,256,2930.68,0.58798,137,233,1660.39,27644,16649.08,16696.728041999973,19628.03241700004,1038
"a49f80b7cea2","f2d1c2f3984cb0934b575069489a052654b4037b","issue-25489-head+b9935+scan-4",3,"vision",true,,200,100.59,256,2544.91,0.78283,155,198,1357.77,30861,22729.25,22812.36629200005,25357.738041999983,882
"a49f80b7cea2","f2d1c2f3984cb0934b575069489a052654b4037b","issue-25489-head+b9935+scan-4",3,"post-vision",true,,200,95,256,2694.61,0.70952,149,210,1341.99,30901,23026.33,23104.527375000063,25799.593667000066,1152
"a49f80b7cea2","2f18fe13c5dd61e7f069e0c817086cbbce2134dc","scan-1",3,"text",true,,200,87.23,256,2934.71,0.58798,137,233,1661.74,27644,16635.54,16682.627958999947,19617.997500000056,1038
"a49f80b7cea2","2f18fe13c5dd61e7f069e0c817086cbbce2134dc","scan-1",3,"vision",true,,200,100.56,256,2545.74,0.78283,155,198,1354.08,30861,22791.12,22873.148250000086,25419.329625000246,882
"a49f80b7cea2","2f18fe13c5dd61e7f069e0c817086cbbce2134dc","scan-1",3,"post-vision",true,,200,94.89,256,2697.73,0.70952,149,210,1341.43,30901,23035.87,23112.76691599982,25810.95829100022,1152
"a49f80b7cea2","fdb1db877c526ec90f668eca1b858da5dba85560","scan-2",3,"text",true,,200,87.19,256,2936.16,0.58798,137,233,1664.21,27644,16610.85,16656.993416999932,19593.788291999605,1038
"a49f80b7cea2","fdb1db877c526ec90f668eca1b858da5dba85560","scan-2",3,"vision",true,,200,100.42,256,2549.34,0.78283,155,198,1359.2,30861,22705.31,22786.67562500015,25336.476000000257,882
"a49f80b7cea2","fdb1db877c526ec90f668eca1b858da5dba85560","scan-2",3,"post-vision",true,,200,94.8,256,2700.43,0.70952,149,210,1341.82,30901,23029.15,23105.370750000235,25806.24362500012,1152
"a49f80b7cea2","f5525f7e7a7e7cbecd386144299493ea40499bd3","scan-3",3,"text",true,,200,87.32,256,2931.75,0.58798,137,233,1664.82,27644,16604.82,16648.073624999728,19580.44362499984,1038
"a49f80b7cea2","f5525f7e7a7e7cbecd386144299493ea40499bd3","scan-3",3,"vision",true,,200,100.59,256,2545.1,0.78283,155,198,1358.32,30861,22719.99,22802.175084000453,25347.720834000036,882
"a49f80b7cea2","f5525f7e7a7e7cbecd386144299493ea40499bd3","scan-3",3,"post-vision",true,,200,94.91,256,2697.18,0.70952,149,210,1343.33,30901,23003.3,23083.396083000116,25781.02462500008,1152
